title,date,summary,topic,source
In pics: Taliban fighters enjoy day off at amusement park,"Sat, 09 Oct 2021 17:19:27 IST","","",https://timesofindia.indiatimes.com/world/south-asia/in-pics-taliban-fighters-enjoy-day-off-at-amusement-park/photostory/86891923.cms
‘Starting a fire’: US and China enter dangerous territory over Taiwan,"Sat, 09 Oct 2021 21:57:56 IST","","",https://timesofindia.indiatimes.com/world/china/starting-a-fire-us-and-china-enter-dangerous-territory-over-taiwan/articleshow/86895853.cms
"Why Delhi, other states are staring at power crisis","Wed, 06 Oct 2021 18:41:24 IST","","",https://timesofindia.indiatimes.com/business/india-business/explained-why-india-stares-at-possible-power-crunch/articleshow/86811741.cms
Phone-tapping case: Mumbai police summon CBI chief,"Sat, 09 Oct 2021 20:31:46 IST","","",https://timesofindia.indiatimes.com/india/phone-tapping-case-mumbai-police-summon-cbi-director-subodh-jaiswal/articleshow/86895033.cms
UP violence: Union minister's son questioned for 9 hours,"Sat, 09 Oct 2021 21:09:34 IST","Union minister Ajay Mishra Teni's son Ashish was questioned today for nearly nine hours by the UP Police SIT probing the Lakhimpur Kheri violence. Ashish has maintained that he was not present in the vehicle that mowed down farmers, or at the site of the violence. However the family has admitted ownership of a vehicle that allegedly mowed down farmers at the incident site.","",https://timesofindia.indiatimes.com/india/lakhimpur-khrri-violence-union-ministers-son-questioned-for-9-hours/articleshow/86895569.cms
Covid live: Normal timings for shops in Bengal between Oct 10-20,"Fri, 08 Oct 2021 02:17:00 IST","India logged 19,740 new Covid-19 cases and 23,070 recoveries in the last 24 hours, reports the ministry of health and family welfare on Saturday. With this, the country's active caseload now stands at 2,36,643, which is the lowest in 206 days. Stay with TOI for updates from India and around the world","",https://timesofindia.indiatimes.com/india/coronavirus-live-updates-oct-8/liveblog/86854121.cms
Selectors add net bowlers to T20 World Cup team,"Sat, 09 Oct 2021 22:10:03 IST","The Indian selectors are set to add a few more players to India’s T20 World Cup team as net bowlers. The names of the bowlers are yet to be finalised but what will be interesting to see if the selectors opt for any backup for mystery spinner Varun Chakravarthy who is suffering from dodgy knees. However, according to sources pacers Umran Malik and Harshal Patel are in the reckoning to join the team after the IPL.","",https://timesofindia.indiatimes.com/sports/cricket/icc-mens-t20-world-cup/selectors-add-net-bowlers-to-t20-world-cup-team-focus-on-varun-chakravarthys-fitness/articleshow/86896140.cms
Anxiety and fear for women in Taliban stronghold,"Sat, 09 Oct 2021 20:42:11 IST","","",https://timesofindia.indiatimes.com/world/south-asia/anxiety-and-fear-for-women-in-taliban-stronghold/articleshow/86895216.cms
"Amazon Sale deals of the day: Phones, laptops & more","Sat, 09 Oct 2021 21:25:40 IST","","",https://www.gadgetsnow.com/slideshows/deals-of-the-day-in-amazon-sale-samsung-phones-lenovo-laptop-xiaomi-vacuum-cleaner-and-more/photolist/86883669.cms
Farmers plan series of protests over Lakhimpur violence,"Sat, 09 Oct 2021 14:47:41 IST","The farmer leaders on Saturday pressed for the arrest of Union minister Ajay Mishra Teni and his son Ashish Mishra over their alleged involvement in the Lakhimpur Kheri violence on October 3. The Samyukta Kisan Morcha (SKM), an umbrella body of farmer unions, said it will launch a series of protests across India if their demands are not met.","",https://timesofindia.indiatimes.com/india/arrest-mos-mishra-son-or-farmers-plan-series-of-protest-over-lakhimpur-violence/articleshow/86889573.cms
